uri,label_de,label_es
https://d-nb.info/gnd/1345954158,5 Siliquen,5 Siliquen
https://d-nb.info/gnd/4725384-8,5-3-2-System,Sistema 5-3-2
https://d-nb.info/gnd/1268386316,50 Jahre Olympische Spiele in München,50 años de los Juegos Olímpicos de Múnich
https://d-nb.info/gnd/7783668-6,50 Jahre Spielmannszug Heek e.V.,50 años del Spielmannszug Heek e.V.
https://d-nb.info/gnd/7706586-4,500 MeV Elektronen-Synchrotron,Sincrotrón de electrones de 500 MeV
https://d-nb.info/gnd/1047512939,550 Jahre Universität Basel,550 años de la Universidad de Basilea
https://d-nb.info/gnd/1188755676,5G,5G
https://d-nb.info/gnd/1167567897,5Rhythms,5Rhythms
https://d-nb.info/gnd/1345954409,6 Siliquen,6 Siliquen
https://d-nb.info/gnd/1128660229,600 Jahre Universität Heidelberg,600 años de la Universidad de Heidelberg
https://d-nb.info/gnd/1062939646,650 Jahre Universität Wien,650 años de la Universidad de Viena
https://d-nb.info/gnd/1136374388,"7,7-cm-Feldkanone 16","Cañón de campaña de 7,7 cm 16"
https://d-nb.info/gnd/1136298150,"7,7-cm-Feldkanone 96 n. A.","Cañón de campaña de 7,7 cm 96 n. A."
https://d-nb.info/gnd/4262753-9,700 Jahre Eidgenossenschaft,700 años de la Confederación Suiza
https://d-nb.info/gnd/133521075X,700-Jahr-Feier der Stadt Borken,700.º aniversario de la ciudad de Borken
https://d-nb.info/gnd/1335134549,700-Jahrfeier der Stadt Beckum,700.º aniversario de la ciudad de Beckum
https://d-nb.info/gnd/1336591390,725-Jahr-Feier der Stadt Borgentreich,725.º aniversario de la ciudad de Borgentreich
https://d-nb.info/gnd/4199410-3,750 Jahre Berlin,750 años de Berlín
https://d-nb.info/gnd/4446820-9,750 Jahre Berlin <Motiv>,750 años de Berlín
https://d-nb.info/gnd/1344375847,750 Jahre Boele,750 años de Boele
https://d-nb.info/gnd/1312347147,750 Jahre Strümpfelbach,750 años de Strümpfelbach
https://d-nb.info/gnd/1335212299,775 Jahre Stadt Borken,775 años de la ciudad de Borken
https://d-nb.info/gnd/1046953125,8-cm-Feldkanone,Cañón de campaña de 8 cm
https://d-nb.info/gnd/1354287274,800 Jahre Wiehagen,800 años de Wiehagen
https://d-nb.info/gnd/1380600162,800 lět Chrósćicy,800 años de Crosticia
https://d-nb.info/gnd/7570556-4,8051win,8051win
https://d-nb.info/gnd/1144194865,8D-Report,Informe 8D
https://d-nb.info/gnd/7501714-3,8VSB,8VSB
https://d-nb.info/gnd/1345955200,9 Siliquen,9 Siliquen
https://d-nb.info/gnd/133919743X,950 Jahre Rhede,950 años de Rhede
https://d-nb.info/gnd/7525786-5,:output,:output
https://d-nb.info/gnd/1358907463,`agabah,`agabah
https://d-nb.info/gnd/4560358-3,a,a
https://d-nb.info/gnd/7754897-8,A 101 G,A 101 G
https://d-nb.info/gnd/4741584-8,A 109 K2,A 109 K2
https://d-nb.info/gnd/7628747-6,A 12,A 12
https://d-nb.info/gnd/7856411-6,A 16,A 16
https://d-nb.info/gnd/7856412-8,A 17,A 17
https://d-nb.info/gnd/7856433-5,A 20,A 20
https://d-nb.info/gnd/4000002-3,A 302 D,A 302 D
https://d-nb.info/gnd/1070292222,A 32,A 32
https://d-nb.info/gnd/7573202-6,A 3D Skywarrior,A 3D Skywarrior
https://d-nb.info/gnd/7861141-6,A 5 Vigilante,A 5 Vigilante
https://d-nb.info/gnd/4205017-0,A 5110,A 5110
https://d-nb.info/gnd/4205019-4,A 5120,A 5120
https://d-nb.info/gnd/4205018-2,A 5130,A 5130
https://d-nb.info/gnd/4207883-0,A 7100,A 7100
https://d-nb.info/gnd/4207882-9,A 7150,A 7150
https://d-nb.info/gnd/1113036230,"A <Buchstabe, Motiv>",A
https://d-nb.info/gnd/4797516-7,A <Buchstabe>,A
https://d-nb.info/gnd/4798481-8,a <Morphem>,a
https://d-nb.info/gnd/4140954-1,a cappella,a cappella
https://d-nb.info/gnd/4732284-6,a gente,la gente
https://d-nb.info/gnd/1322249865,a pesar de ello,a pesar de ello
https://d-nb.info/gnd/7507216-6,A'jië,A'jië
https://d-nb.info/gnd/4839235-2,A++,A++
https://d-nb.info/gnd/4656690-9,A+-Zertifikat,Certificado A+-
https://d-nb.info/gnd/4209475-6,A-10A Thunderbolt II,A-10A Thunderbolt II
https://d-nb.info/gnd/4267162-0,A-15-Struktur,Estructura A-15
https://d-nb.info/gnd/4143839-5,A-15-Supraleiter,Superconductor A-15
https://d-nb.info/gnd/4571900-7,A-20,A-20
https://d-nb.info/gnd/4410346-3,A-26 Invader,A-26 Invader
https://d-nb.info/gnd/4649995-7,A-4 Skyhawk,A-4 Skyhawk
https://d-nb.info/gnd/4650440-0,A-6 Intruder,A-6 Intruder
https://d-nb.info/gnd/7554843-4,A-7 Corsair II,A-7 Corsair II
https://d-nb.info/gnd/4141220-5,A-cappella-Messe,Misa a cappella
https://d-nb.info/gnd/4323554-2,A-Chromosom,Cromosoma A
https://d-nb.info/gnd/1344560741,A-Disintegrin-und-Metalloprotease-Proteine,Proteínas A-disintegrina y metaloproteasa
https://d-nb.info/gnd/1375005065,a-Dorisch,dórico en A
https://d-nb.info/gnd/1375005790,A-Dur,La mayor
https://d-nb.info/gnd/4440281-8,A-eigentlicher Operator,Operador propio de A
https://d-nb.info/gnd/1063209110,A-Gruppe <Nubien>,Grupo A
https://d-nb.info/gnd/7681498-1,A-Hmao,A-Hmao
https://d-nb.info/gnd/1242514848,A-Instrument,instrumento en La
https://d-nb.info/gnd/1207497568,A-Kinase Ankerproteine,proteínas de anclaje de la quinasa A
https://d-nb.info/gnd/4254278-9,a-Konjugation,conjugación alfa
https://d-nb.info/gnd/1375005502,A-Mixolydisch,La mixolidio
https://d-nb.info/gnd/110347894X,a-Moll,La menor
https://d-nb.info/gnd/1105500853,A-Netz,red de corriente alterna
https://d-nb.info/gnd/4313405-1,a-null-Meson,mesón a-0
https://d-nb.info/gnd/137500509X,a-Phrygisch,La frigio
https://d-nb.info/gnd/4346907-3,A-posteriori-Abschätzung,estimación a posteriori
https://d-nb.info/gnd/4273821-0,A-posteriori-Wahrscheinlichkeit,probabilidad a posteriori
https://d-nb.info/gnd/4142827-4,A-prima-vista-Singen,canto a primera vista
https://d-nb.info/gnd/4142828-6,A-prima-vista-Spiel,interpretación a primera vista
https://d-nb.info/gnd/4304925-4,A-priori-Abschätzung,estimación a priori
https://d-nb.info/gnd/4525912-4,A-priori-Verteilung,distribución a priori
https://d-nb.info/gnd/4139159-7,A-priori-Wissen,conocimiento a priori
https://d-nb.info/gnd/4243641-2,A-scan-Verfahren,método de exploración A
https://d-nb.info/gnd/4403172-5,A-Stern,estrella A
https://d-nb.info/gnd/4638497-2,A-Typ-ATPasen,ATPasas de tipo A
https://d-nb.info/gnd/1124568573,A.E.I.O.U.,A.E.I.O.U.
https://d-nb.info/gnd/1370243812,A/B-Test,prueba A/B
https://d-nb.info/gnd/4190748-6,A6M Zero-Sen,A6M Zero-Sen
https://d-nb.info/gnd/4203889-3,A7V Sturmpanzerwagen,A7V Sturmpanzerwagen
https://d-nb.info/gnd/4263516-0,A86,A86
https://d-nb.info/gnd/4202931-4,Aachen <Motiv>,Aquisgrán
https://d-nb.info/gnd/7710874-7,Aachener Blaustein,piedra azul de Aquisgrán
https://d-nb.info/gnd/4120815-8,Aachener Printe,printe de Aquisgrán
https://d-nb.info/gnd/4140960-7,Aachener und Münchener Preis für Technik und angewandte Naturwissenschaften,Premio Aquisgrán y Múnich de Tecnología y Ciencias Naturales Aplicadas
https://d-nb.info/gnd/4409334-2,AACR2EXPERT,AACR2EXPERT
https://d-nb.info/gnd/1160545022,Aak,Aak
https://d-nb.info/gnd/1098223365,Aakash <Tablet PC>,Aakash
https://d-nb.info/gnd/7693422-6,AAL-Technik,tecnología de asistencia avanzada
https://d-nb.info/gnd/4221284-4,Aalartige Fische,peces anguiliformes
https://d-nb.info/gnd/4140962-0,Aale,anguilas
https://d-nb.info/gnd/7848734-1,Aalen <Motiv>,Aalen
https://d-nb.info/gnd/4589008-0,"Aalen <Region, Motiv>",Aalen
https://d-nb.info/gnd/4299903-0,Aalenium,aaleniense
https://d-nb.info/gnd/4433645-7,Aalfischerei,pesca de la anguila
https://d-nb.info/gnd/4767596-2,Aalmutter,brótola de río
https://d-nb.info/gnd/4766763-1,Aalmuttern <Familie>,brótolas de río
https://d-nb.info/gnd/4737685-5,Aalquappe,lota
https://d-nb.info/gnd/4714351-4,Aalschokker,barco angulero
https://d-nb.info/gnd/4363145-9,Aarau <Motiv>,Aarau
https://d-nb.info/gnd/4131733-6,Aare <Motiv>,Aare
https://d-nb.info/gnd/7517998-2,Aargau / Jubiläum <1978>,Argovia / aniversario
https://d-nb.info/gnd/4370571-6,Aargau <Motiv>,Argovia
https://d-nb.info/gnd/4000023-0,Aargauer,argoviano
https://d-nb.info/gnd/4271290-7,Aaron <Programm>,Aaron
https://d-nb.info/gnd/4240828-3,Aaron Ward <Schiff>,Aaron Ward
https://d-nb.info/gnd/4256958-8,Aasfresser,carroñero
https://d-nb.info/gnd/4741222-7,Aaskäfer,escarabajo carroñero
https://d-nb.info/gnd/4140964-4,Aaskrähe,corneja carroñera
https://d-nb.info/gnd/4231691-1,"Aatal <Zürich, Motiv>",Aatal
https://d-nb.info/gnd/4326307-0,ab,desde
https://d-nb.info/gnd/4381335-5,AB 204,AB 204
https://d-nb.info/gnd/1079496033,Ab in die Mitte! Die City-Offensive Niedersachsen,¡Al centro! La ofensiva urbana de Baja Sajonia
https://d-nb.info/gnd/7740548-1,Ab in die Mitte! Die City-Offensive NRW,¡Al centro! La ofensiva urbana de Renania del Norte-Westfalia
https://d-nb.info/gnd/4497815-7,AB-Aktion,Acción AB
https://d-nb.info/gnd/4287108-6,Ab-Hof-Verkauf,Venta directa de la explotación
https://d-nb.info/gnd/4141062-2,Ab-initio-Rechnung,Cálculo ab initio
https://d-nb.info/gnd/4141078-6,AB-Null-System,Sistema AB cero
https://d-nb.info/gnd/4440107-3,AB2-Verbindungen,Compuestos AB2
https://d-nb.info/gnd/4415010-6,AB2X4-Verbindungen,Compuestos AB2X4
https://d-nb.info/gnd/1265146896,Aba-Frauenaufstände,Levantamientos de mujeres Aba
https://d-nb.info/gnd/1048297578,Ababua,ababua
https://d-nb.info/gnd/4607534-3,Abacá,abacá
https://d-nb.info/gnd/4221311-3,Abachi,abachi
https://d-nb.info/gnd/7645726-6,Abadi <Druckschrift>,abadi
https://d-nb.info/gnd/4304497-9,Abadsechisch,abjasio
https://d-nb.info/gnd/4228714-5,Abakuá,abakúa
https://d-nb.info/gnd/4000030-8,Abakus,ábaco
https://d-nb.info/gnd/4133073-0,ABAKUS <Programm>,ABAKUS
https://d-nb.info/gnd/1389133931,Abamarachi,abamarachi
https://d-nb.info/gnd/4219803-3,Abamectin,abamectina
https://d-nb.info/gnd/4610511-6,ABAP,ABAP
https://d-nb.info/gnd/4793015-9,ABAP 6.20,ABAP 6.20
https://d-nb.info/gnd/4792986-8,ABAP 6.40,ABAP 6.40
https://d-nb.info/gnd/7575236-0,ABAP 7.0,ABAP 7.0
https://d-nb.info/gnd/1026440866,ABAP 7.2,ABAP 7.2
https://d-nb.info/gnd/1041886934,ABAP 7.4,ABAP 7.4
https://d-nb.info/gnd/1155185706,ABAP 7.5,ABAP 7.5
https://d-nb.info/gnd/1178857867,ABAP Core Data Services,ABAP Core Data Services
https://d-nb.info/gnd/4610505-0,ABAP Objects,ABAP Objects
https://d-nb.info/gnd/7638091-9,ABAP Unit,ABAP Unit
https://d-nb.info/gnd/7848115-6,ABAP Workbench,ABAP Workbench
https://d-nb.info/gnd/4414686-3,ABAP/4,ABAP/4
https://d-nb.info/gnd/7658716-2,ABAQUS,ABAQUS
https://d-nb.info/gnd/4220582-7,Abart <Philatelie>,abart
https://d-nb.info/gnd/4390274-1,Abasinen,abasinos
https://d-nb.info/gnd/4469025-3,Abasinisch,abasino
https://d-nb.info/gnd/4761376-2,Abaševo-Kultur,cultura de Abashevo
https://d-nb.info/gnd/4140966-8,Abaton,abatón
https://d-nb.info/gnd/4819456-6,Abax,abax
https://d-nb.info/gnd/4833749-3,Abayudaya,abayudaya
https://d-nb.info/gnd/4140965-6,Abänderungsklage,acción de modificación
https://d-nb.info/gnd/4140968-1,Abba,Abba
https://d-nb.info/gnd/1148978941,abba <Wort>,abba
https://d-nb.info/gnd/4260905-7,Abbad,Abbad
https://d-nb.info/gnd/4397173-8,abbatia,abbatía
https://d-nb.info/gnd/4128488-4,Abbau,desarrollo de yacimientos minerales
https://d-nb.info/gnd/4305214-9,Abbaubarer Kunststoff,plástico biodegradable
https://d-nb.info/gnd/4313172-4,Abbaubarkeit,biodegradabilidad
https://d-nb.info/gnd/4371141-8,Abbauplanung,planificación del desmantelamiento
https://d-nb.info/gnd/4426159-7,Abbauprodukt,producto de degradación
https://d-nb.info/gnd/4136352-8,Abbaureaktion,reacción de degradación
https://d-nb.info/gnd/4112432-7,Abbaustelle,yacimiento minero
https://d-nb.info/gnd/4140971-1,Abbaustrecke,tramo de explotación minera
https://d-nb.info/gnd/1167868528,Abbaye de Saint-Maurice 1500 ans,"Abadía de Saint-Maurice, 1500 años"
https://d-nb.info/gnd/4828990-5,Abbe-Refraktometer,refractómetro de Abbe
https://d-nb.info/gnd/4671664-6,Abbeermaschine,despalilladora
https://d-nb.info/gnd/4140972-3,Abbeizen,decapado
https://d-nb.info/gnd/4139019-2,Abberufung,destitución
https://d-nb.info/gnd/7647047-7,Abbey Text <Druckschrift>,texto de Abbey
https://d-nb.info/gnd/4309282-2,Abbiegen,girar
https://d-nb.info/gnd/4590541-1,Abbiegespur,carril de giro
https://d-nb.info/gnd/4604932-0,Abbild,imagen
https://d-nb.info/gnd/4195008-2,Abbildtheorie,teoría de la imagen
https://d-nb.info/gnd/4000044-8,Abbildung <Mathematik>,representación
https://d-nb.info/gnd/4140973-5,Abbildung <Physik>,representación
https://d-nb.info/gnd/4132894-2,Abbildungsfehler,aberración de la imagen
https://d-nb.info/gnd/4140974-7,Abbildungsgeometrie,geometría de la imagen
https://d-nb.info/gnd/4140975-9,Abbildungsgrad,grado de representación
https://d-nb.info/gnd/4841161-9,Abbildungskeim,germen de imagen
https://d-nb.info/gnd/4419229-0,Abbildungsklasse,clase de representación
https://d-nb.info/gnd/4140976-0,Abbildungstreue,fidelidad de la representación
https://d-nb.info/gnd/1109903170,Abbildzüchtung,cultivo de imágenes
https://d-nb.info/gnd/4406972-8,Abbindeexpansion,expansión de fraguado
https://d-nb.info/gnd/4140977-2,Abbinden,fraguado
https://d-nb.info/gnd/4648204-0,Abblendlicht,luz de cruce
https://d-nb.info/gnd/4449496-8,Abbrand <Elektrotechnik>,pérdida por quemado
https://d-nb.info/gnd/4332989-5,Abbrand <Kerntechnik>,pérdida por quemado
https://d-nb.info/gnd/4349630-1,Abbremsen,frenado
https://d-nb.info/gnd/4133837-6,Abbrennen <Landwirtschaft>,quemado
https://d-nb.info/gnd/4140979-6,Abbrennstumpfschweißen,soldadura a tope por chisporroteo
https://d-nb.info/gnd/4140980-2,Abbreviatur,abreviatura
https://d-nb.info/gnd/4130693-4,Abbruch,demolición
https://d-nb.info/gnd/4618611-6,Abbruch <Motiv>,demolición
https://d-nb.info/gnd/7610614-7,Abbruchanordnung,orden de demolición
https://d-nb.info/gnd/7627184-5,Abbruchgerät,equipo de demolición
https://d-nb.info/gnd/4210141-4,Abbruchreaktion,reacción de demolición
https://d-nb.info/gnd/4140981-4,Abbuchungsverfahren,procedimiento de adeudo
https://d-nb.info/gnd/4140978-4,Abbund,ensamblaje de madera
https://d-nb.info/gnd/7596195-7,ABC <Computer>,ABC
https://d-nb.info/gnd/4353127-1,ABC FlowCharter 3.0,ABC FlowCharter 3.0
https://d-nb.info/gnd/4828389-7,ABC FlowCharter 4.0,ABC FlowCharter 4.0
https://d-nb.info/gnd/4193289-4,ABC-Analyse,análisis ABC
https://d-nb.info/gnd/4327923-5,ABC-Gerät,equipo ABC
https://d-nb.info/gnd/4140982-6,ABC-Krieg,guerra ABC
https://d-nb.info/gnd/4000054-0,ABC-Schutz,protección ABC
https://d-nb.info/gnd/4472594-2,ABC-Transporter,transportador ABC
https://d-nb.info/gnd/4000056-4,ABC-Waffen,Armas ABC
https://d-nb.info/gnd/4466552-0,Abchasen,abjasios
https://d-nb.info/gnd/1032574550,Abchasien <Motiv>,Abjasia
https://d-nb.info/gnd/4084630-1,Abchasisch,abjasio
https://d-nb.info/gnd/4600891-3,Abciximab,abciximab
https://d-nb.info/gnd/4348677-0,Abdal,abdal
https://d-nb.info/gnd/7579408-1,Abdallar,abdalar
https://d-nb.info/gnd/4140949-8,Abdankung,abdicación
https://d-nb.info/gnd/4637788-8,Abdankung <Motiv>,abdicación
https://d-nb.info/gnd/1028028296,Abdämmungssee,lago de retención
https://d-nb.info/gnd/4140983-8,Abdecker,desollador
https://d-nb.info/gnd/4382991-0,Abdecktuch,cubierta de protección
https://d-nb.info/gnd/4201901-1,Abdeckung <Bauwesen>,cobertura
https://d-nb.info/gnd/4000065-5,Abdichtung,impermeabilización
https://d-nb.info/gnd/4000066-7,Abdichtungsstoff,material sellador
https://d-nb.info/gnd/4191401-6,Abdomen,abdomen
https://d-nb.info/gnd/7505216-7,Abdominales Aortenaneurysma,aneurisma aórtico abdominal
https://d-nb.info/gnd/4210119-0,Abdominaltumor,tumor abdominal
https://d-nb.info/gnd/7630624-0,Abdominoplastik,abdominoplastia
https://d-nb.info/gnd/4478589-6,Abdrängkraft,fuerza de rechazo
https://d-nb.info/gnd/4278467-0,Abdrift <Pflanzenbau>,deriva
https://d-nb.info/gnd/4998365-9,Abducenskern,núcleo del abducens
https://d-nb.info/gnd/4140985-1,Abduktion <Bewegungslehre>,abducción
https://d-nb.info/gnd/4120817-1,Abduktion <Logik>,abducción
https://d-nb.info/gnd/4647817-6,Abduktionsphänomen,fenómeno de abducción
https://d-nb.info/gnd/4769572-9,Abduktiver Schluss,inferencia abductiva
https://d-nb.info/gnd/128267823X,Abduzenslähmung,parálisis del abducens
https://d-nb.info/gnd/4258391-3,Abe,Abe
https://d-nb.info/gnd/4304909-6,Abe-Sprache,lengua abe
https://d-nb.info/gnd/4331762-5,Abecarnil,Abecarnil
https://d-nb.info/gnd/4195702-7,Abecedarium,abecedario
https://d-nb.info/gnd/4140986-3,ABEDIS,ABEDIS
https://d-nb.info/gnd/4374952-5,abeille,abeille
https://d-nb.info/gnd/4383423-1,ABEL <Programmiersprache>,ABEL
https://d-nb.info/gnd/4417061-0,Abel-Jacobi-Isogenie,isogenia de Abel-Jacobi
https://d-nb.info/gnd/1050252888,Abel-Preis,Premio Abel
https://d-nb.info/gnd/4200518-8,Abelam,Abelam
https://d-nb.info/gnd/4543580-7,Abelmoschus manihot,Abelmoschus manihot
https://d-nb.info/gnd/4619933-0,Abelsche Automorphismengruppe,grupo de automorfismos abeliano
https://d-nb.info/gnd/4405047-1,Abelsche Eichtheorie,teoría gauge abeliana
https://d-nb.info/gnd/4134667-1,Abelsche Erweiterung,extensión abeliana
https://d-nb.info/gnd/4507102-0,Abelsche Fläche,superficie abeliana
https://d-nb.info/gnd/4140987-5,Abelsche Funktion,función abeliana
https://d-nb.info/gnd/4423792-3,Abelsche Funktionalgleichung,ecuación funcional de Abel
https://d-nb.info/gnd/4140988-7,Abelsche Gruppe,grupo abeliano
https://d-nb.info/gnd/4140989-9,Abelsche Halbgruppe,semigrupo abeliano
https://d-nb.info/gnd/4140990-5,Abelsche Integralgleichung,ecuación integral de Abel
https://d-nb.info/gnd/4140991-7,Abelsche Kategorie,categoría abeliana
https://d-nb.info/gnd/4293754-1,Abelsche Körpererweiterung,extensión de cuerpos abeliana
https://d-nb.info/gnd/4140992-9,Abelsche Mannigfaltigkeit,variedad abeliana
https://d-nb.info/gnd/4140993-0,Abelsche Matrix,matriz abeliana
https://d-nb.info/gnd/4140994-2,Abelsche p-Gruppe,p-grupo abeliano
https://d-nb.info/gnd/4221295-9,Abelsche partielle Summation,sumación parcial de Abel
https://d-nb.info/gnd/4140995-4,Abelsche Quasigruppe,cuasigrupo abeliano
https://d-nb.info/gnd/4615215-5,Abelsche Sätze <Laplace-Transformation>,teoremas de Abel
https://d-nb.info/gnd/4306300-7,Abelsche Untergruppe,subgrupo abeliano
https://d-nb.info/gnd/4140996-6,Abelscher Körper,cuerpo abeliano
https://d-nb.info/gnd/4221296-0,Abelscher Normalteiler,divisor normal abeliano
https://d-nb.info/gnd/4125896-4,Abelscher Zahlkörper,cuerpo numérico abeliano
https://d-nb.info/gnd/4140997-8,Abelsches Differential,diferencial abeliano
https://d-nb.info/gnd/4140999-1,Abelsches Gruppenschema,esquema de grupos abelianos
https://d-nb.info/gnd/4141000-2,Abelsches Integral,integral abeliana
https://d-nb.info/gnd/4141001-4,Abelsches Limitierungsverfahren,método de sumabilidad abeliana
https://d-nb.info/gnd/1303873699,Abemaciclib,Abemaciclib
https://d-nb.info/gnd/4831933-8,Abemus,Abemus
https://d-nb.info/gnd/4521782-8,Abend,tarde-noche
https://d-nb.info/gnd/4391291-6,Abend <Motiv>,tarde-noche
https://d-nb.info/gnd/4141003-8,Abendessen,cena
